GJD-2450000 flux err airmass sky dx dy fwhm peak baserun
8540.018316 1.008340 0.004773 1.0635 88.8 31.703 -0.264 5.09 7969.0 MSCT1_1902250312
8540.018686 0.992752 0.004641 1.0630 86.5 31.885 0.304 5.17 8605.0 MSCT1_1902250313
8540.019045 1.001195 0.004702 1.0624 87.1 32.901 -1.118 4.99 9362.0 MSCT1_1902250314
8540.019416 0.998490 0.004784 1.0619 87.8 31.457 0.590 5.30 7922.0 MSCT1_1902250315
8540.019786 0.988881 0.004809 1.0615 88.2 32.956 1.478 5.47 7613.0 MSCT1_1902250316
8540.020145 0.996861 0.004817 1.0610 86.2 31.325 0.203 5.28 7731.0 MSCT1_1902250317
8540.020515 1.004314 0.005351 1.0605 93.3 31.841 0.241 4.84 7745.0 MSCT1_1902250318
8540.020885 0.994906 0.005454 1.0601 100.2 5.066 -0.297 6.31 6416.0 MSCT1_1902250319
8540.021244 0.989208 0.005143 1.0596 99.8 -0.346 0.817 7.52 5388.0 MSCT1_1902250320
8540.021615 0.996256 0.004791 1.0592 89.3 -2.682 0.861 5.10 7912.0 MSCT1_1902250321
8540.021985 0.996579 0.004620 1.0587 82.8 -2.868 -0.633 5.27 8564.0 MSCT1_1902250322
8540.022344 0.993556 0.004621 1.0583 81.8 -1.717 -0.612 5.07 9736.0 MSCT1_1902250323
8540.022714 0.997674 0.004684 1.0578 83.6 -1.607 0.570 5.12 8361.0 MSCT1_1902250324
8540.023084 1.002344 0.004636 1.0574 82.2 -2.575 0.914 5.38 8398.0 MSCT1_1902250325
8540.023443 0.997389 0.004615 1.0570 82.0 -2.792 0.803 5.25 9306.0 MSCT1_1902250326
8540.023814 1.001694 0.004722 1.0566 84.5 -1.875 -1.272 5.08 9274.0 MSCT1_1902250327
8540.024184 1.002289 0.004821 1.0561 85.5 -1.363 1.021 5.88 6572.0 MSCT1_1902250328
8540.024543 0.996447 0.004734 1.0557 83.5 -1.767 -0.623 5.88 6619.0 MSCT1_1902250329
8540.024913 0.984499 0.004711 1.0553 83.6 -1.351 0.263 4.83 8968.0 MSCT1_1902250330
8540.025284 0.995240 0.004769 1.0549 83.5 -0.232 -0.178 4.96 9032.0 MSCT1_1902250331
8540.025642 0.997172 0.004882 1.0545 84.5 -2.731 0.780 5.88 7645.0 MSCT1_1902250332
8540.026013 0.996278 0.004913 1.0541 86.0 -2.829 0.775 5.29 9258.0 MSCT1_1902250333
8540.026372 1.002559 0.005112 1.0537 88.0 -1.938 0.827 5.17 7441.0 MSCT1_1902250334
8540.026742 0.999802 0.004983 1.0533 86.5 -2.592 -0.225 4.94 8164.0 MSCT1_1902250335
8540.027112 0.992343 0.004999 1.0530 87.5 -1.697 -0.695 4.58 10696.0 MSCT1_1902250336
8540.027471 0.989899 0.005178 1.0526 89.3 -2.664 -1.855 5.60 7112.0 MSCT1_1902250337
8540.027841 0.997063 0.005203 1.0522 88.4 -2.669 -1.198 5.16 7986.0 MSCT1_1902250338
8540.028212 0.998405 0.005139 1.0518 87.6 -1.220 -0.013 5.64 6758.0 MSCT1_1902250339
8540.028571 1.002305 0.005204 1.0515 86.3 -0.667 1.123 6.29 5152.0 MSCT1_1902250340
8540.028941 0.995062 0.005255 1.0511 88.8 -0.779 0.058 6.57 5082.0 MSCT1_1902250341
8540.029311 0.983896 0.005112 1.0508 87.1 -1.716 -1.195 5.80 6290.0 MSCT1_1902250342
8540.029670 0.994332 0.005023 1.0505 84.4 -3.099 0.264 4.96 7671.0 MSCT1_1902250343
8540.030041 1.000621 0.004988 1.0501 82.8 -1.341 0.396 5.50 6823.0 MSCT1_1902250344
8540.030411 1.000034 0.005122 1.0497 85.9 -1.565 0.636 5.65 6059.0 MSCT1_1902250345
8540.030770 0.991806 0.005152 1.0494 88.2 -1.515 0.438 5.53 5964.0 MSCT1_1902250346
8540.031140 0.993273 0.005061 1.0491 85.2 -0.084 0.177 6.02 5847.0 MSCT1_1902250347
8540.031510 1.001291 0.004822 1.0488 82.4 -0.981 0.691 5.72 7089.0 MSCT1_1902250348
8540.031869 1.004062 0.004837 1.0484 80.0 -2.508 0.226 5.96 6125.0 MSCT1_1902250349
8540.032240 0.990696 0.004845 1.0481 77.4 -1.380 -0.386 5.66 6434.0 MSCT1_1902250350
8540.032610 0.987689 0.004758 1.0478 77.5 -1.572 -1.130 6.27 6060.0 MSCT1_1902250351
8540.032969 0.997480 0.004786 1.0475 77.1 -1.400 -0.002 5.76 7065.0 MSCT1_1902250352
8540.033339 1.004760 0.004752 1.0472 76.1 -2.465 -0.888 5.22 8215.0 MSCT1_1902250353
8540.033698 0.996990 0.004718 1.0469 75.9 -0.628 -0.085 5.06 8564.0 MSCT1_1902250354
8540.034068 0.991654 0.004664 1.0466 74.8 -1.044 0.726 4.99 9514.0 MSCT1_1902250355
8540.034439 1.007773 0.004937 1.0463 77.2 -2.961 0.547 5.53 7749.0 MSCT1_1902250356
8540.034797 0.986773 0.004609 1.0461 73.3 -2.255 0.030 5.13 9095.0 MSCT1_1902250357
8540.035168 0.992788 0.004598 1.0458 71.5 -1.183 0.901 5.50 7524.0 MSCT1_1902250358
8540.035538 0.999745 0.004619 1.0455 73.1 -2.373 1.113 5.06 8786.0 MSCT1_1902250359
8540.035897 0.999451 0.004607 1.0453 70.2 -0.691 0.579 5.49 7781.0 MSCT1_1902250360
8540.036267 0.998277 0.004608 1.0450 70.4 -2.105 -1.223 6.62 6831.0 MSCT1_1902250361
8540.036638 1.006503 0.004558 1.0447 69.2 -2.319 -1.750 4.88 9520.0 MSCT1_1902250362
8540.036997 1.000278 0.004693 1.0445 70.0 -1.433 -1.371 5.53 6727.0 MSCT1_1902250363
8540.037367 0.996610 0.004600 1.0442 69.6 -1.354 -0.464 5.23 7999.0 MSCT1_1902250364
8540.037737 1.003952 0.004598 1.0440 68.4 -2.121 1.610 5.46 7637.0 MSCT1_1902250365
8540.038096 0.998888 0.004597 1.0437 67.7 -1.086 0.015 5.83 7339.0 MSCT1_1902250366
8540.038466 0.992708 0.004591 1.0435 69.6 -3.388 -0.455 6.38 6726.0 MSCT1_1902250367
8540.038837 0.991768 0.004608 1.0433 68.9 -2.554 -0.127 5.10 9149.0 MSCT1_1902250368
8540.039196 0.994100 0.004613 1.0431 69.6 -2.774 0.608 5.21 8592.0 MSCT1_1902250369
8540.039566 1.005155 0.004569 1.0428 68.8 -1.152 -0.245 5.03 10361.0 MSCT1_1902250370
8540.039925 0.998678 0.004580 1.0426 69.0 -3.065 -1.320 5.88 7785.0 MSCT1_1902250371
8540.040295 1.000007 0.004575 1.0424 67.9 -3.421 -0.639 5.19 9249.0 MSCT1_1902250372
8540.040666 1.001659 0.004602 1.0422 68.0 -2.235 -0.637 5.29 10328.0 MSCT1_1902250373
8540.041024 0.999777 0.004660 1.0420 70.1 -3.691 0.245 4.87 8649.0 MSCT1_1902250374
8540.041395 0.992960 0.004707 1.0418 70.3 -3.061 -0.481 5.89 7350.0 MSCT1_1902250375
8540.041765 0.987435 0.004634 1.0416 69.8 -1.476 0.240 5.24 8367.0 MSCT1_1902250376
8540.042124 0.996588 0.004661 1.0414 69.8 -1.416 1.142 5.04 10059.0 MSCT1_1902250377
8540.042494 0.992618 0.004658 1.0412 68.8 -2.022 0.380 5.16 8964.0 MSCT1_1902250378
8540.042865 0.995840 0.004789 1.0411 85.9 -2.976 0.513 4.41 10732.0 MSCT1_1902250379
8540.043223 0.997164 0.004899 1.0409 125.3 -2.229 -0.793 5.14 7898.0 MSCT1_1902250380
8540.043594 0.986484 0.004699 1.0407 99.8 -1.859 0.260 4.31 12398.0 MSCT1_1902250381
8540.043964 0.994116 0.004787 1.0405 120.8 -2.796 0.154 4.64 9962.0 MSCT1_1902250382
8540.044323 1.006318 0.004756 1.0404 110.6 -2.474 0.581 5.01 9870.0 MSCT1_1902250383
8540.044693 0.996476 0.004643 1.0402 79.3 -3.303 -0.302 4.42 11152.0 MSCT1_1902250384
8540.045064 0.990909 0.004593 1.0401 72.6 -2.411 0.612 5.12 9897.0 MSCT1_1902250385
8540.045422 0.997047 0.004572 1.0399 69.4 -3.103 0.079 4.29 11359.0 MSCT1_1902250386
8540.045793 0.996595 0.004600 1.0398 68.9 -1.657 0.647 5.04 10047.0 MSCT1_1902250387
8540.046163 0.999791 0.004631 1.0396 69.2 -2.616 0.450 5.67 9040.0 MSCT1_1902250388
8540.046522 0.983239 0.004636 1.0395 71.1 -3.074 -0.032 5.54 10071.0 MSCT1_1902250389
8540.046892 0.999366 0.004769 1.0394 86.6 -2.068 0.181 4.83 9566.0 MSCT1_1902250390
8540.047263 0.999745 0.004851 1.0393 101.5 -1.940 -0.043 4.76 9693.0 MSCT1_1902250391
8540.047622 1.001246 0.004845 1.0391 89.7 -1.589 -0.148 5.64 7755.0 MSCT1_1902250392
8540.047992 1.002163 0.004813 1.0390 81.2 -1.595 -0.268 4.76 9349.0 MSCT1_1902250393
8540.048351 0.988839 0.004772 1.0389 73.6 -1.926 1.115 5.16 9844.0 MSCT1_1902250394
8540.048721 0.997624 0.004771 1.0388 70.1 -1.465 0.075 5.00 9310.0 MSCT1_1902250395
8540.049091 0.996947 0.004741 1.0387 68.4 -2.127 0.000 4.98 8342.0 MSCT1_1902250396
8540.049462 1.001624 0.004676 1.0386 66.6 -1.629 -0.425 4.83 10757.0 MSCT1_1902250397
8540.049821 0.995606 0.004669 1.0385 66.2 -2.406 -0.178 5.27 9516.0 MSCT1_1902250398
8540.050191 0.998539 0.004751 1.0384 66.8 -4.403 -0.682 5.95 6533.0 MSCT1_1902250399
8540.050550 0.994814 0.004623 1.0383 64.4 -2.832 -0.089 4.79 9432.0 MSCT1_1902250400
8540.050920 1.002463 0.004595 1.0382 62.5 -2.170 0.611 5.47 10925.0 MSCT1_1902250401
8540.051291 1.007136 0.004632 1.0381 63.4 -1.425 -0.200 4.69 9301.0 MSCT1_1902250402
8540.051649 1.003798 0.004672 1.0381 63.4 -2.784 -0.898 5.82 7198.0 MSCT1_1902250403
8540.052020 0.989959 0.004567 1.0380 62.5 -2.030 -0.284 5.45 8433.0 MSCT1_1902250404
